,label,adress,energy1,energy1label,energy2,energy2label,pricesquare,informationlist
49,Publiée le 7 nov. 2019 | Modifiée le 5 déc. 2019 | Réf. de l’annonce : VA23590-IMMOTRAM2,La Madeleine 59110,Non soumis,NA,En cours de réalisation,NA,3 692 €/m²,"['Prix\u202f: 414 500 €, honoraires : 4,94% TTC inclus à la charge de l’acquéreur (395 000 € hors honoraires)', 'Estimez votre mensualité', '107 m²', '3 pièces', '2 chambres', 'Balcon', 'Chauffage : gaz collectif', 'Cave', '1 salle de bain', '1 WC', 'Disponible le 20 février 2020', '1er étage (sur 4)', 'Mandat en exclusivité', 'Réf. de l’annonce : VA23590-IMMOTRAM2', 'Publiée le 7 nov. 2019', 'Modifiée le 5 déc. 2019', 'Barèmes de l’agence', 'Signaler une anomalie sur cette annonce']"
50,Publiée il y a plus de 1 mois | Réf. de l’annonce : 120037E1C4I4,Marcq-en-Barœul 59700 (Croisé Laroche - Rouges Barres),180,D,22,D,2 297 €/m²,"['Prix\u202f: 170 000 €, honoraires à la charge du vendeur', 'Estimez votre mensualité', '74 m²', '3 pièces', '2 chambres', 'Chauffage : collectif', '1 salle de bain', '5e étage (sur 6)', 'Ascenseur', 'Réf. de l’annonce : 120037E1C4I4', 'Publiée il y a plus de 1 mois', 'Signaler une anomalie sur cette annonce', 'Barèmes de l’agence']"
51,Publiée il y a plus de 1 mois | Modifiée le 29 nov. 2019 | Réf. de l’annonce : 2749,Marcq-en-Barœul 59700 (Croisé Laroche - Rouges Barres),Non soumis,NA,Non soumis,NA,6 373 €/m²,"['Prix\u202f: 395 750 €, honoraires à la charge du vendeur', 'Estimez votre mensualité', '62,10 m²', '3 pièces', '2 chambres', 'Exposé Sud', 'Chauffage : électrique individuel', '1 salle de bain', '1 WC', 'Calme', '5 étages', 'Réf. de l’annonce : 2749', 'Publiée il y a plus de 1 mois', 'Modifiée le 29 nov. 2019', 'Barèmes de l’agence', 'Signaler une anomalie sur cette annonce']"
52,Publiée il y a plus de 1 mois | Modifiée le 5 nov. 2019 | Réf. de l’annonce : APP-VTE-125-212,La Madeleine 59110 (Grand Boulevard),194,D,28,D,3 510 €/m²,"['Prix\u202f: 269 000 €, honoraires : 5,00% TTC inclus à la charge de l’acquéreur (256 200 € hors honoraires)', 'Estimez votre mensualité', '73 m²', '3 pièces', '2 chambres', 'Chauffage : gaz collectif', 'Cave', '1 salle de bain', 'Dernier étage (sur 3)', 'Construit en 1900', 'Ascenseur', 'Réf. de l’annonce : APP-VTE-125-212', 'Publiée il y a plus de 1 mois', 'Modifiée le 5 nov. 2019', 'Barèmes de l’agence', 'Signaler une anomalie sur cette annonce']"
53,Publiée il y a plus de 1 mois | Modifiée le 22 nov. 2019 | Réf. de l’annonce : APP-VTE-131-212,Marcq-en-Barœul 59700 (Plouich - Clémenceau - Calmette),Vierge,NA,Vierge,NA,4 507 €/m²,"['Prix\u202f: 360 000 €, honoraires à la charge du vendeur', 'Estimez votre mensualité', '79,87 m²', '4 pièces', '2 chambres', 'Chauffage : radiateur gaz individuel', '1 salle de bain', '2 places de parking', '4 étages', 'Construit en 2018', 'Ascenseur', 'Réf. de l’annonce : APP-VTE-131-212', 'Publiée il y a plus de 1 mois', 'Modifiée le 22 nov. 2019', 'Barèmes de l’agence', 'Signaler une anomalie sur cette annonce']"
54,Publiée le 12 déc. 2019 | Réf. de l’annonce : SOF1970,La Madeleine 59110 (Grand Boulevard),En cours de réalisation,NA,En cours de réalisation,NA,4 323 €/m²,"['Prix\u202f: 549 000 €, honoraires : 6,72% TTC inclus à la charge de l’acquéreur (514 413 € hors honoraires)', 'Estimez votre mensualité', '119 m²', '4 pièces', '3 chambres', '11 terrasses', '1 balcon', '1 salle de bain', '1 salle d’eau', '3e étage', 'Ascenseur', 'Réf. de l’annonce : SOF1970', 'Publiée le 12 déc. 2019', 'Signaler une anomalie sur cette annonce']"
55,Publiée le 10 déc. 2019 | Réf. de l’annonce : 120037E1I7TR,La Madeleine 59110 (Centre-ville),118,C,22,D,2 017 €/m²,"['Prix\u202f: 222 500 €, honoraires à la charge du vendeur', 'Estimez votre mensualité', '110,30 m²', '5 pièces', '4 chambres', 'Chauffage : individuel', '2 salles de bain', '1 place de parking', 'Réf. de l’annonce : 120037E1I7TR', 'Publiée le 10 déc. 2019', 'Signaler une anomalie sur cette annonce', 'Barèmes de l’agence']"
56,Publiée le 5 déc. 2019 | Réf. de l’annonce : 42667,La Madeleine 59110,,A,En cours de réalisation,NA,4 575 €/m²,"['549 000 €', 'Estimez votre mensualité', '120 m²', '4 pièces', '3 chambres', '2 salles de bain', '1 WC', 'Réf. de l’annonce : 42667', 'Publiée le 5 déc. 2019', 'Signaler une anomalie sur cette annonce']"
57,Publiée le 21 nov. 2019 | Modifiée le 16 déc. 2019 | Réf. de l’annonce : 59-MDN-236247,Marcq-en-Barœul 59700 (Mairie),NA,NA,NA,NA,2 999 €/m²,"['416 900 €', 'Estimez votre mensualité', '139 m²', '7 pièces', '5 chambres', '1 salle de bain', 'Réf. de l’annonce : 59-MDN-236247', 'Publiée le 21 nov. 2019', 'Modifiée le 16 déc. 2019', 'Signaler une anomalie sur cette annonce']"
58,Publiée le 13 nov. 2019 | Modifiée le 29 nov. 2019 | Réf. de l’annonce : 2864,Marcq-en-Barœul 59700 (Buisson - May-Four - Pellevoisin),256,E,58,F,3 623 €/m²,"['Prix\u202f: 257 250 €, honoraires à la charge du vendeur', 'Estimez votre mensualité', '71 m²', '3 pièces', '2 chambres', 'Réf. de l’annonce : 2864', 'Publiée le 13 nov. 2019', 'Modifiée le 29 nov. 2019', 'Barèmes de l’agence', 'Signaler une anomalie sur cette annonce']"
59,Publiée le 13 nov. 2019 | Réf. de l’annonce : 41457,La Madeleine 59110,,A,En cours de réalisation,NA,4 575 €/m²,"['549 000 €', 'Estimez votre mensualité', '120 m²', '4 pièces', '3 chambres', '2 salles de bain', '1 WC', 'Réf. de l’annonce : 41457', 'Publiée le 13 nov. 2019', 'Signaler une anomalie sur cette annonce']"
60,Publiée le 9 nov. 2019 | Modifiée le 19 nov. 2019 | Réf. de l’annonce : VA23604-IMMOTRAM2,Marcq-en-Barœul 59700,Non soumis,NA,En cours de réalisation,NA,2 681 €/m²,"['Prix\u202f: 195 000 €, honoraires : 5,41% TTC inclus à la charge de l’acquéreur (185 000 € hors honoraires)', 'Estimez votre mensualité', '69 m²', '3 pièces', '2 chambres', 'Balcon', 'Exposé Ouest', 'Chauffage : fuel collectif', 'Cave', 'Duplex', '1 salle de bain', '1 WC', '3e étage (sur 4)', 'Mandat en exclusivité', 'Réf. de l’annonce : VA23604-IMMOTRAM2', 'Publiée le 9 nov. 2019', 'Modifiée le 19 nov. 2019', 'Barèmes de l’agence', 'Signaler une anomalie sur cette annonce']"
